symbol,contracts,volatility
ABB,3225,0.0198
ABFRL,4080,0.0211
ADANIENT,6588,0.0343
ADANIPORTS,5028,0.0248
AMBUJACEM,4191,0.0224
APOLLOHOSP,3871,0.0159
ASIANPAINT,5801,0.0121
AUBANK,7952,0.0202
AUROPHARMA,3211,0.0194
AXISBANK,30307,0.0146
BAJAJ-AUTO,10261,0.0152
BAJAJFINSV,3845,0.0153
BAJFINANCE,19653,0.0163
BANDHANBNK,8629,0.0209
BANKBARODA,11959,0.0206
BEL,6858,0.0189
BHARATFORG,3064,0.0194
BHARTIARTL,7541,0.0128
BPCL,6115,0.0191
CANBK,8356,0.0212
CHOLAFIN,3161,0.0196
CIPLA,3540,0.0152
COALINDIA,4964,0.0195
COFORGE,3830,0.0205
CONCOR,3266,0.0183
CUMMINSIND,4733,0.017
DLF,8772,0.0193
DRREDDY,3850,0.0132
EICHERMOT,21669,0.0164
FEDERALBNK,5768,0.0173
GAIL,5228,0.0193
GLENMARK,6597,0.0211
GMRINFRA,3550,0.025
GRASIM,4532,0.0137
GUJGASLTD,3224,0.0185
HAL,15343,0.0203
HCLTECH,4098,0.0145
HDFCBANK,48636,0.0132
HDFCLIFE,3521,0.0159
HEROMOTOCO,3714,0.0159
HINDALCO,6894,0.0208
HINDPETRO,5091,0.0251
HINDUNILVR,6879,0.0112
ICICIBANK,46273,0.0121
IDEA,4620,0.037
IDFCFIRSTB,11487,0.019
IGL,3654,0.0197
INDIGO,5685,0.0173
INDUSINDBK,20322,0.0179
INFY,13043,0.0154
IOC,4140,0.0201
IRCTC,4365,0.0214
ITC,10728,0.0121
JINDALSTEL,4484,0.0224
JSWSTEEL,5177,0.0158
KOTAKBANK,22629,0.0124
LT,4914,0.014
M&M,5430,0.0168
MARUTI,32180,0.013
NATIONALUM,4883,0.0274
NMDC,6837,0.0226
NTPC,4594,0.0161
ONGC,5577,0.0185
PFC,9206,0.0246
PNB,11200,0.0234
POLYCAB,6265,0.0242
POWERGRID,3868,0.0168
PVRINOX,4512,0.0173
RECLTD,13762,0.0247
RELIANCE,22340,0.0132
SBIN,30155,0.015
SHRIRAMFIN,3441,0.0208
SUNPHARMA,3845,0.0121
TATACONSUM,4221,0.0139
TATAMOTORS,25284,0.0181
TATAPOWER,10953,0.0215
TATASTEEL,16147,0.0187
TCS,17307,0.013
TECHM,3339,0.0161
TITAN,3072,0.0132
TVSMOTOR,7612,0.0163
ULTRACEMCO,3079,0.0134
UPL,4520,0.0176
VEDL,7044,0.0218
VOLTAS,3107,0.0167
WIPRO,7658,0.0152
ZYDUSLIFE,3335,0.0156
